*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      JUL 11, 2017; 16:24:41
                                                                                
*RUN   1        : SIM                       CRGRO046 0\000000    1              
 MODEL          : CRGRO046 - Dry bean                                           
 EXPERIMENT     : 0\000000 BN PALMIRA_ANALISIS SENSIBILIDAD                     
 DATA PATH      : D:\B\0\00000                                                  
 TREATMENT  1   : SIM                       CRGRO046                            
  
!                                                                                                                                                                                                                                                    Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                                    0-5    5-15   15-25   25-35   35-50   50-65   65-80   80-99  99-122 122-209
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD  PST1A  PST2A   KSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D   RL10D    SNW0C   SNW1C
 1980 144    53    38    9.1      5  1.764    578    617     64    165   1195   1671    137    47.2  0.039    477     98  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.70  13.51   0.29      0    477  305.1   0.71   0.58    0.0   0.89    0.46    0.46    0.36    0.19    0.11    0.05    0.02    0.00    0.00    0.00      217      76
 1980 145    54    39    9.1      5  1.725    566    614    117    162   1181   1769    167    70.2  0.066    588    108  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.64  19.92   0.33      0    588  304.5   0.71   0.58    0.0   0.91    0.45    0.45    0.36    0.18    0.10    0.05    0.02    0.00    0.00    0.00      231      80
 1980 146    55    40    9.1      5  1.682    552    608    180    159   1161   1868    198    90.7  0.096    708    118  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.58  25.41   0.38      0    708  304.6   0.71   0.58    0.0   0.92    0.45    0.45    0.35    0.18    0.10    0.05    0.02    0.00    0.00    0.00      246      83
 1980 147    56    41    9.1      5  1.638    535    598    257    155   1133   1963    231   111.2  0.131    830    125  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.51  30.97   0.42      0    830  305.9   0.71   0.58    0.0   0.92    0.44    0.44    0.34    0.18    0.10    0.05    0.02    0.00    0.00    0.00      262      86
 1980 148    57    42    9.1      5  1.588    517    586    347    151   1103   2057    264   131.3  0.169    954    131  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.43  36.34   0.46      0    954  307.3   0.71   0.58    0.0   0.92    0.43    0.43    0.34    0.17    0.10    0.05    0.02    0.00    0.00    0.00      278      90
 1980 149    58    43    9.1      5  1.536    498    574    447    148   1072   2149    298   150.2  0.208   1077    134  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.34  41.56   0.50      0   1077  308.7   0.71   0.58    0.0   0.94    0.42    0.42    0.33    0.17    0.10    0.05    0.02    0.00    0.00    0.00      295      93
 1980 150    59    44    9.1      5  1.483    478    563    562    144   1041   2242    332   169.1  0.251   1201    136  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.23  46.78   0.54      0   1201  310.1   0.71   0.58    0.0   0.96    0.41    0.41    0.32    0.16    0.09    0.05    0.02    0.00    0.00    0.00      312      96
 1980 151    60    45    9.1      7  1.432    460    553    689    141   1013   2326    363   189.7  0.296   1314    135  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.13  52.44   0.56      0   1314  311.4   0.71   0.58    0.0   0.96    0.40    0.40    0.32    0.16    0.09    0.04    0.02    0.00    0.00    0.00      332      99
 1980 152    61    46    9.1      7  1.058    338    512    818    137    850   2276    372   220.0  0.359   1427    127  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.94  57.33   0.63      0   1427  312.9   0.71   0.58    0.0   0.96    0.39    0.39    0.31    0.16    0.09    0.04    0.02    0.00    0.00    0.00      490     102
 1980 153    62    47    9.1      7  0.782    249    481    911    134    730   2243    372   244.9  0.406   1513    127  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.77  60.17   0.67      0   1513  314.4   0.71   0.58    0.0   0.96    0.38    0.38    0.30    0.15    0.09    0.04    0.02    0.00    0.00    0.00      600     105
 1980 154    63    48    9.1      7  0.581    184    458    977    132    642   2217    372   262.7  0.441   1574    119  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.64  62.03   0.71      0   1574  315.8   0.71   0.58    0.0   0.96    0.38    0.38    0.30    0.15    0.09    0.04    0.02    0.00    0.00    0.00      681     107
 1980 155    64    49    9.1      7  0.430    136    440   1036    129    576   2204    372   278.6  0.470   1628    113  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.50  63.60   0.74      0   1628  317.2   0.71   0.58    0.0   0.96    0.37    0.37    0.29    0.15    0.08    0.04    0.02    0.00    0.00    0.00      741     110
 1980 156    65    50    9.1      7  0.319    100    426   1080    126    526   2194    372   290.4  0.492   1667    109  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.36  64.76   0.76      0   1667  318.8   0.71   0.58    0.0   0.96    0.36    0.36    0.29    0.15    0.08    0.04    0.02    0.00    0.00    0.00      785     113
 1980 157    66    51    9.1      7  0.237     74    415   1112    123    489   2184    372   299.2  0.509   1695    107  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.24  65.61   0.78      0   1695  320.2   0.71   0.58    0.0   0.96    0.35    0.35    0.28    0.14    0.08    0.04    0.02    0.00    0.00    0.00      818     115
 1980 158    67    52    9.1      7  0.176     55    406   1136    121    460   2175    372   305.5  0.522   1714    106  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.13  66.26   0.79      0   1714  321.7   0.71   0.58    0.0   0.96    0.35    0.35    0.27    0.14    0.08    0.04    0.02    0.00    0.00    0.00      842     118
 1980 159    68    53    9.1      7  0.131     41    399   1150    118    439   2165    372   309.5  0.531   1726    106  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.05  66.67   0.80      0   1726  323.1   0.71   0.58    0.0   0.98    0.34    0.34    0.27    0.14    0.08    0.04    0.02    0.00    0.00    0.00      860     121
