*EVALUATION : PASA1701BN PALMIRA_ANALISIS SENSIBILIDAD                                DSSAT Cropping System Model Ver. 4.6.1.000 -release      JUL 11, 2017; 13:37:20

@RUN EXCODE        TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   GL%MS   GL%MM   CHTAS   CHTAM   R8APS   R8APM   EDAPS   EDAPM
  45 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      55     -99    2092     -99    2713     -99     695     -99  0.3010     -99    4.30     -99    3219     -99    1130     -99    1.73     -99   0.650     -99   77.11     -99      81     -99      98     -99       5     -99    3.88     -99     434     -99      14     -99    5.82     -99    2.70     -99    0.35     -99      62     -99       5     -99
  46 PASA1701BN     2  1 BN      24     -99      27     -99      35     -99      56     -99    2113     -99    2715     -99     650     -99  0.3252     -99    4.30     -99    3186     -99    1070     -99    1.67     -99   0.663     -99   77.84     -99      82     -99      98     -99       4     -99    3.89     -99     410     -99      13     -99    5.76     -99    2.68     -99    0.34     -99      63     -99       5     -99
  47 PASA1701BN     2  1 BN      24     -99      27     -99      35     -99      56     -99    2108     -99    2714     -99     683     -99  0.3086     -99    4.30     -99    3167     -99    1060     -99    1.66     -99   0.666     -99   77.68     -99      81     -99      97     -99       4     -99    3.86     -99     407     -99      13     -99    5.72     -99    2.72     -99    0.34     -99      63     -99       5     -99
  48 PASA1701BN     2  1 BN      24     -99      26     -99      35     -99      56     -99    2158     -99    2779     -99     703     -99  0.3071     -99    4.30     -99    3256     -99    1100     -99    1.71     -99   0.663     -99   77.63     -99      83     -99      99     -99       4     -99    3.84     -99     418     -99      13     -99    5.77     -99    2.75     -99    0.35     -99      63     -99       5     -99
  49 PASA1701BN     2  1 BN      24     -99      26     -99      35     -99      56     -99    2120     -99    2715     -99     657     -99  0.3226     -99    4.30     -99    3168     -99    1050     -99    1.69     -99   0.669     -99   78.08     -99      81     -99      97     -99       4     -99    3.83     -99     399     -99      12     -99    5.73     -99    2.75     -99    0.34     -99      63     -99       5     -99
  50 PASA1701BN     2  1 BN      24     -99      26     -99      35     -99      56     -99    2139     -99    2750     -99     691     -99  0.3093     -99    4.30     -99    3245     -99    1110     -99    1.69     -99   0.659     -99   77.79     -99      82     -99      98     -99       5     -99    3.81     -99     420     -99      13     -99    5.80     -99    2.77     -99    0.35     -99      63     -99       5     -99
  51 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      54     -99    2067     -99    2664     -99     663     -99  0.3119     -99    4.30     -99    3182     -99    1110     -99    1.75     -99   0.650     -99   77.58     -99      79     -99      96     -99       5     -99    3.83     -99     447     -99      14     -99    5.95     -99    2.78     -99    0.37     -99      61     -99       5     -99
  52 PASA1701BN     2  1 BN      24     -99      27     -99      35     -99      56     -99    2129     -99    2745     -99     689     -99  0.3089     -99    4.30     -99    3199     -99    1070     -99    1.67     -99   0.666     -99   77.56     -99      81     -99      98     -99       4     -99    3.82     -99     394     -99      12     -99    5.67     -99    2.77     -99    0.35     -99      63     -99       5     -99
  53 PASA1701BN     2  1 BN      24     -99      27     -99      35     -99      56     -99    2137     -99    2726     -99     668     -99  0.3198     -99    4.30     -99    3171     -99    1030     -99    1.68     -99   0.674     -99   78.41     -99      82     -99      97     -99       4     -99    3.83     -99     397     -99      12     -99    5.65     -99    2.73     -99    0.33     -99      63     -99       5     -99
  54 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      55     -99    2150     -99    2786     -99     707     -99  0.3041     -99    4.30     -99    3282     -99    1130     -99    1.77     -99   0.655     -99   77.16     -99      82     -99      99     -99       5     -99    3.82     -99     447     -99      14     -99    5.92     -99    2.77     -99    0.36     -99      62     -99       5     -99
